episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward,total_reward,average_reward
1,1.3200000000000007,-3.75270440909,-1.18950232018,0.0,4.95760854168,0.887750425096,0.0,-4.03160766568,-1.41148101621,-15.5161768122,14.2643219646,-8.17906850086,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,120.273434371,2898.23329144,131.737876883
2,1.4400000000000008,-6.24397069923,-0.243842198158,0.0,0.931718935815,0.571955828517,0.0,-6.75721702334,-0.499216254582,-13.8424519274,15.6044814985,-6.73740160679,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,119.831749868,3151.85415805,131.327256586
3,1.4400000000000008,-5.79053645734,-0.0696096457335,0.0,4.00202887333,6.14300640842,0.0,-5.22773173218,0.895863839343,-15.25298767,2.08701876669,0.339448381608,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,119.85465202,3150.53526618,131.272302757
4,1.620000000000001,-0.97159592807,1.09192412147,0.0,2.70374162555,1.07662917776,0.0,0.289490404291,1.00838852342,-15.5034536431,-7.21357887819,28.688692515,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,119.990476518,3566.70227685,132.100084328
5,1.680000000000001,-0.602029275117,0.177034743987,0.0,4.35519378324,0.429533090356,0.0,0.923550257339,0.0553973902366,-16.0263855166,-0.861432175003,28.8329838961,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,120.366401618,3729.8612708,133.2093311
6,1.740000000000001,-1.6944103822,0.00721427073628,0.0,0.270315698122,2.60488489426,0.0,-1.715365877,0.134369377796,-13.6824892852,0.378760755661,28.5956663999,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,120.071443875,3852.63774701,132.849577483
7,1.740000000000001,0.134240026168,0.117471333027,0.0,0.374524011933,1.73474268613,0.0,0.15434415845,0.765584582182,-8.49204152775,1.67264364391,7.08659545402,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,119.99988709,3841.85270437,132.477679461
8,8.8199999999999,-19.3610810771,-150.0,232.486232763,0.241917173063,5.65017788823,0.0,7.15900087243,-184.823729801,58.1762875557,0.402164268812,-0.189146355558,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,2.6318308342,27133.2331052,184.579817042
9,5.0399999999999805,20.6642656051,150.0,300.0,2.25069843942,5.64858736908,0.0,-13.3955026338,12106.2988001,15791.423001,0.721478455626,-0.187409410974,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-100.074061412,17178.3763314,204.504480136
10,10.019999999999875,-149.911232525,119.834212181,199.099698041,4.53929479076,1.56298887707,0.0,-31.4490741174,66.9169985357,-4.46397618525,0.995919647795,0.0256544922866,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,17.3387518918,28483.6972658,170.561061472
11,8.999999999999897,-10.8583279998,-150.0,213.251456763,5.94690315613,6.27881992947,0.0,0.0259665566289,-106.341564364,-7.33477218199,0.0218393924111,-0.0485864242729,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,28.5124826902,27038.5315363,180.256876908
12,5.99999999999996,15.1216955229,-3.32926220338,300.0,1.13913944632,0.142084171575,0.0,5.49604547435,-374.723673662,910.382381886,-0.122656461055,0.270530240643,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-49.9522502294,19915.3677648,199.153677648
13,5.219999999999977,39.6497800095,71.0017799227,300.0,1.84426366259,4.90355800048,0.0,30.6415037606,529.634709285,2096.97583069,0.378870803559,-0.527128726064,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-58.7174390314,17628.6549702,202.628218048
14,10.019999999999875,-137.212215363,-29.5282508885,60.1864851854,5.54069914479,4.4237993868,0.0,13.945267621,-46.526518642,-82.4406783051,-0.336432170185,0.758775677442,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,134.626912563,32539.9495998,194.849997604
15,10.019999999999875,141.20231975,-49.433151126,211.538933803,0.195547754512,5.02433369226,0.0,32.4732658335,-18.6924781405,2.35182136612,0.427159314973,-0.230428386482,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,32.2670808086,28804.3983542,172.481427271
16,10.019999999999875,-126.961816569,60.8836597891,189.855902129,6.00291993348,1.73899034107,0.0,-30.362546268,8.27830283384,-12.2508798802,-0.239357467092,0.107098207566,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,68.9344684605,29603.7272482,177.267827833
17,8.159999999999915,-81.3634169501,-99.8464461397,300.0,0.755213929132,1.41506330267,0.0,-28.5879319378,-468.81079798,461.476817035,0.00692910425997,0.10207302435,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-91.0858256418,24658.8819827,181.315308696
18,7.559999999999927,150.0,-70.0853495337,45.8221121638,2.30986752061,3.9198092408,0.0,168.600175908,80.6581766318,-122.149233876,-0.475402028835,-0.365118783377,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,97.2641360428,26321.4193509,208.900153578
19,10.019999999999875,-106.156592987,-137.617483588,131.428568821,3.92957262826,1.73418584187,0.0,-33.472168177,-9.11552261661,-13.8115849121,0.283526889199,0.157486748947,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,112.952044304,31586.4350544,189.140329667
20,8.759999999999902,-150.0,5.79604551447,41.3363896742,5.84841244332,3.45278069321,0.0,-10.8366236769,-6.42042951247,-43.4170234431,-0.0310686155035,0.336800209555,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,103.231054404,29642.5740428,203.03132906
21,8.39999999999991,6.14661267584,-150.0,134.342817136,5.35872479785,0.638780503461,0.0,-9.62615957868,-56.9218561402,-33.2971521355,0.347509049201,0.188062492339,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,129.770017319,28215.5224043,201.539445745
22,10.019999999999875,128.764172731,74.3583732544,206.755843785,0.886121172249,4.55030103843,0.0,31.9605733996,16.2621605252,-3.00602405762,-0.115080599484,-0.455826862572,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,39.6151219308,28364.8678554,169.849508116
